time,AM,SINE
0,1,0
5e-07,0.909234,0.000197359
1e-06,0.818552,0.000789044
1.5e-06,0.728036,0.00177387
2e-06,0.637768,0.00314988
2.5e-06,0.547832,0.00491433
3e-06,0.458311,0.00706369
3.5e-06,0.369285,0.00959367
4e-06,0.280837,0.0124992
4.5e-06,0.193047,0.0157745
5e-06,0.105996,0.0194129
5.5e-06,0.0197635,0.0234072
6e-06,-0.0655715,0.0277494
6.5e-06,-0.149931,0.0324306
7e-06,-0.233237,0.0374414
7.5e-06,-0.315415,0.0427718
8e-06,-0.396388,0.0484108
8.5e-06,-0.476082,0.054347
9e-06,-0.554425,0.0605683
9.5e-06,-0.631345,0.067062
1e-05,-0.706771,0.0738147
1.05e-05,-0.780634,0.0808125
1.1e-05,-0.852867,0.088041
1.15e-05,-0.923404,0.0954852
1.2e-05,-0.99218,0.103129
1.25e-05,-1.05913,0.110958
1.3e-05,-1.1242,0.118954
1.35e-05,-1.18732,0.127101
1.4e-05,-1.24844,0.135381
1.45e-05,-1.3075,0.143777
1.5e-05,-1.36444,0.15227
1.55e-05,-1.41923,0.160843
1.6e-05,-1.47179,0.169476
1.65e-05,-1.5221,0.178151
1.7e-05,-1.57009,0.186848
1.75e-05,-1.61574,0.195548
1.8e-05,-1.65898,0.204231
1.85e-05,-1.6998,0.212877
1.9e-05,-1.73814,0.221467
1.95e-05,-1.77397,0.229981
2e-05,-1.80726,0.238398
2.05e-05,-1.83799,0.246698
2.1e-05,-1.86611,0.254862
2.15e-05,-1.89161,0.262869
2.2e-05,-1.91447,0.270699
2.25e-05,-1.93465,0.278333
2.3e-05,-1.95215,0.28575
2.35e-05,-1.96694,0.292932
2.4e-05,-1.97902,0.299858
2.45e-05,-1.98837,0.30651
2.5e-05,-1.99499,0.312869
2.55e-05,-1.99886,0.318916
2.6e-05,-1.99999,0.324632
2.65e-05,-1.99837,0.330001
2.7e-05,-1.994,0.335004
2.75e-05,-1.9869,0.339625
2.8e-05,-1.97706,0.343846
2.85e-05,-1.96449,0.347651
2.9e-05,-1.94921,0.351026
2.95e-05,-1.93123,0.353954
3e-05,-1.91056,0.35642
3.05e-05,-1.88723,0.358412
3.1e-05,-1.86126,0.359915
3.15e-05,-1.83267,0.360917
3.2e-05,-1.80148,0.361406
3.25e-05,-1.76773,0.36137
3.3e-05,-1.73144,0.360798
3.35e-05,-1.69265,0.35968
3.4e-05,-1.6514,0.358007
3.45e-05,-1.60772,0.355771
3.5e-05,-1.56166,0.352963
3.55e-05,-1.51324,0.349577
3.6e-05,-1.46253,0.345607
3.65e-05,-1.40956,0.341047
3.7e-05,-1.35439,0.335893
3.75e-05,-1.29706,0.330142
3.8e-05,-1.23762,0.323789
3.85e-05,-1.17614,0.316835
3.9e-05,-1.11267,0.309277
3.95e-05,-1.04726,0.301116
4e-05,-0.979974,0.292352
4.05e-05,-0.910877,0.282988
4.1e-05,-0.840032,0.273026
4.15e-05,-0.767501,0.262469
4.2e-05,-0.693352,0.251323
4.25e-05,-0.617653,0.239592
4.3e-05,-0.540473,0.227283
4.35e-05,-0.461882,0.214403
4.4e-05,-0.381953,0.200961
4.45e-05,-0.300758,0.186965
4.5e-05,-0.218373,0.172426
4.55e-05,-0.134872,0.157355
4.6e-05,-0.0503318,0.141763
4.65e-05,0.0351699,0.125663
4.7e-05,0.121555,0.109069
4.75e-05,0.208744,0.0919961
4.8e-05,0.296658,0.0744584
4.85e-05,0.385216,0.0564725
4.9e-05,0.474337,0.0380555
4.95e-05,0.563939,0.0192251
5e-05,0.65394,3.6437e-15
5.05e-05,0.744258,-0.0196005
5.1e-05,0.834811,-0.0395563
5.15e-05,0.925514,-0.0598466
5.2e-05,1.01629,-0.0804498
5.25e-05,1.10704,-0.101344
5.3e-05,1.1977,-0.122505
5.35e-05,1.28818,-0.143911
5.4e-05,1.37839,-0.165538
5.45e-05,1.46826,-0.187359
5.5e-05,1.5577,-0.209352
5.55e-05,1.64663,-0.231488
5.6e-05,1.73496,-0.253743
5.65e-05,1.82263,-0.27609
5.7e-05,1.90954,-0.298501
5.75e-05,1.99561,-0.320948
5.8e-05,2.08078,-0.343405
5.85e-05,2.16496,-0.365843
5.9e-05,2.24807,-0.388234
5.95e-05,2.33003,-0.410548
6e-05,2.41078,-0.432756
6.05e-05,2.49024,-0.454831
6.1e-05,2.56833,-0.476741
6.15e-05,2.64499,-0.498459
6.2e-05,2.72014,-0.519953
6.25e-05,2.79371,-0.541196
6.3e-05,2.86565,-0.562157
6.35e-05,2.93587,-0.582807
6.4e-05,3.00433,-0.603117
6.45e-05,3.07094,-0.623057
6.5e-05,3.13567,-0.642599
6.55e-05,3.19843,-0.661713
6.6e-05,3.25919,-0.68037
6.65e-05,3.31787,-0.698543
6.7e-05,3.37443,-0.716204
6.75e-05,3.42882,-0.733324
6.8e-05,3.48099,-0.749876
6.85e-05,3.53088,-0.765835
6.9e-05,3.57846,-0.781172
6.95e-05,3.62367,-0.795862
7e-05,3.66649,-0.80988
7.05e-05,3.70686,-0.823202
7.1e-05,3.74475,-0.835802
7.15e-05,3.78013,-0.847658
7.2e-05,3.81297,-0.858746
7.25e-05,3.84323,-0.869046
7.3e-05,3.87088,-0.878534
7.35e-05,3.89591,-0.887191
7.4e-05,3.91828,-0.894997
7.45e-05,3.93799,-0.901933
7.5e-05,3.955,-0.907981
7.55e-05,3.96931,-0.913124
7.6e-05,3.9809,-0.917346
7.65e-05,3.98976,-0.920631
7.7e-05,3.99589,-0.922966
7.75e-05,3.99927,-0.924338
7.8e-05,3.9999,-0.924733
7.85e-05,3.99779,-0.924141
7.9e-05,3.99293,-0.922553
7.95e-05,3.98533,-0.919958
8e-05,3.975,-0.91635
8.05e-05,3.96195,-0.911722
8.1e-05,3.94618,-0.906067
8.15e-05,3.92772,-0.899383
8.2e-05,3.90657,-0.891666
8.25e-05,3.88277,-0.882914
8.3e-05,3.85632,-0.873126
8.35e-05,3.82726,-0.862303
